Question,GT Answer,"open-squad-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","open-squad-long_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",open-squad-long_vanilla_gpt-3.5-turbo-1106_google,open-squad-long_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,open-squad-long_multihop_gpt-3.5-turbo-1106_google,open-squad-long_dsp+sample_gpt-3.5-turbo-1106_google,open-squad-long_dsp+knn_gpt-3.5-turbo-1106_google
What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,"['Florida legislature', 'the Florida legislature', 'Florida legislature']",Florida lawmakers,The Florida Legislature,The Miami Dolphins,The Miami Dolphins,lack of renovations,Florida state lawmakers,West Side Stadium
Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,"['Florida legislature', 'the Florida legislature', 'Florida legislature']",Florida Legislature,The Florida Legislature,Miami Dolphins,Florida Legislature,Miami-Dade County voters,The Florida Legislature,Florida Legislature
What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?,"['eight', 'eight', 'eight']",8,Eight,7 times,8,Eight,8,eight
"According to game stats, which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?","['Peyton Manning', 'Peyton Manning', 'Manning']",Peyton Manning,Cam Newton,Peyton Manning,Cam Newton,Peyton Manning,Cam Newton,Peyton Manning
What player did the field problem at Levi's stadium affect for a field goal in week six of the regular season?,"['Justin Tucker', 'Tucker']",Justin Tucker,Justin Tucker,Robbie Gould,Phil Dawson,Justin Tucker,Justin Tucker,Justin Tucker
What color was used to create the 50-yard line in Levi's Stadium for the season leading up to the Super Bowl 50 game?,"['gold', 'gold', 'gold']",Gold,Gold,gold/yellow,Gold,Gold,Gold,gold
How many people were estimated to go to the different game-themed events during the week prior to Super Bowl 50 in the city it was held in?,"['1 million', 'More than 1 million', '1 million']",1.1 million,1.1 million,1 million people,1.1 million,Over a million people,1.1 million,1.1 million
What was the name of the event at the The Embarcadero that was held prior to Super Bowl 50 to help show off some of the things that San Francisco has to offer?,"['Super Bowl City', 'Super Bowl City', 'Super Bowl City']",Super Bowl City,Super Bowl City,Super Bowl City,Super Bowl City,Super Bowl City,Super Bowl City,Super Bowl City
"Which committee made an effort to invite companies owned by people, who are transgender or gay, to take part in contract business associated with Super Bowl 50.","['Super Bowl 50 Host Committee', 'the Super Bowl 50 Host Committee', 'Super Bowl 50 Host Committee']",Super Bowl 50 Host Committee and the NFL,Super Bowl 50 committee,The Super Bowl 50 Host Committee,Super Bowl 50 host committee,The committee organizing the event specifically sought out LGBT-owned businesses.,The nonprofit committee responsible for producing the 2016 Super Bowl,Super Bowl 50 Host Committee
Which company held a contest whereupon contestants could enter for a chance to have their own commercial shown during Super Bowl 50?,"['Doritos', 'Doritos', 'Doritos']",Intuit Inc.,Doritos,Doritos,Doritos,Frito-Lay,Frito-Lay,Doritos
